Customer_ID,Order_Date,Order_ID,Channel,Product_Category,Order_Value,Is_Repeat_Purchase,Discount_Applied
C410,2024-01-14,O50000,Paid Search,Cleansers,28.0,False,0%
C1680,2024-01-14,O50001,Paid Search,Moisturizers,38.0,False,0%
C6913,2024-01-14,O50002,Paid Social,Cleansers,28.0,False,0%
C9864,2024-01-14,O50003,Paid Social,Cleansers,25.2,False,10%
C8929,2024-01-14,O50004,Organic Search,Exfoliants,54.6,False,0%
C107,2024-01-14,O50005,Email,Cleansers,28.0,False,0%
C4553,2024-01-14,O50006,Paid Social,Moisturizers,38.0,False,0%
C1520,2024-01-14,O50007,Organic Search,Exfoliants,54.6,False,0%
C4334,2024-01-14,O50008,Email,Serums,49.5,False,10%
C6202,2024-01-14,O50009,Paid Social,Exfoliants,49.14,False,10%
C5926,2024-01-14,O50010,Paid Search,Serums,55.0,False,0%
C3734,2024-01-14,O50011,Email,Moisturizers,30.4,False,20%
C1655,2024-01-14,O50012,Organic Search,Exfoliants,43.68,False,20%
C2665,2024-01-14,O50013,Organic Search,Cleansers,28.0,False,0%
C1170,2024-01-14,O50014,Paid Search,Cleansers,25.2,False,10%
C2678,2024-01-14,O50015,Organic Search,Exfoliants,43.68,False,20%
C9126,2024-01-14,O50016,Paid Social,Exfoliants,49.14,False,10%
C917,2024-01-14,O50017,Paid Social,Cleansers,28.0,False,0%
C4387,2024-01-14,O50018,Paid Social,Moisturizers,34.2,False,10%
C5156,2024-01-14,O50019,Paid Social,Exfoliants,43.68,False,20%
C7518,2024-01-14,O50020,Paid Social,Cleansers,25.2,False,10%
C8831,2024-01-14,O50021,Paid Social,Exfoliants,43.68,False,20%
C6544,2024-01-14,O50022,Organic Search,Moisturizers,38.0,False,0%
C1490,2024-01-15,O50023,Email,Moisturizers,38.0,False,0%
C2622,2024-01-15,O50024,Email,Exfoliants,54.6,False,0%
C6253,2024-01-15,O50025,Paid Search,Exfoliants,54.6,False,0%
C9065,2024-01-15,O50026,Email,Cleansers,25.2,False,10%
C8798,2024-01-15,O50027,Email,Serums,55.0,False,0%
C4809,2024-01-15,O50028,Organic Search,Exfoliants,43.68,False,20%
C4316,2024-01-15,O50029,Influencer,Serums,49.5,False,10%
C1744,2024-01-15,O50030,Email,Exfoliants,49.14,False,10%
C9978,2024-01-15,O50031,Paid Social,Exfoliants,54.6,False,0%
C8690,2024-01-15,O50032,Influencer,Exfoliants,54.6,False,0%
C1833,2024-01-15,O50033,Influencer,Moisturizers,30.4,False,20%
C5039,2024-01-15,O50034,Paid Social,Cleansers,25.2,False,10%
C1291,2024-01-15,O50035,Paid Social,Exfoliants,54.6,False,0%
C8728,2024-01-15,O50036,Email,Cleansers,28.0,False,0%
C9008,2024-01-15,O50037,Paid Social,Exfoliants,49.14,False,10%
C3471,2024-01-15,O50038,Influencer,Serums,49.5,False,10%
C5108,2024-01-15,O50039,Organic Search,Serums,55.0,False,0%
C8480,2024-01-15,O50040,Organic Search,Cleansers,28.0,False,0%
C345,2024-01-15,O50041,Paid Search,Cleansers,28.0,False,0%
C1164,2024-01-15,O50042,Paid Search,Cleansers,28.0,False,0%
C515,2024-01-15,O50043,Email,Cleansers,28.0,False,0%
C7954,2024-01-15,O50044,Paid Social,Cleansers,22.4,False,20%
C9356,2024-01-15,O50045,Paid Search,Cleansers,28.0,False,0%
C6670,2024-01-15,O50046,Paid Social,Cleansers,28.0,False,0%
C6940,2024-01-15,O50047,Organic Search,Moisturizers,38.0,False,0%
C1613,2024-01-15,O50048,Paid Social,Serums,44.0,False,20%
C1791,2024-01-15,O50049,Paid Social,Cleansers,28.0,False,0%
C9017,2024-01-15,O50051,Paid Social,Serums,49.5,False,10%
C242,2024-01-15,O50052,Influencer,Moisturizers,30.4,False,20%
C2725,2024-01-15,O50053,Organic Search,Exfoliants,43.68,False,20%
C961,2024-01-15,O50054,Paid Social,Cleansers,28.0,False,0%
C7455,2024-01-15,O50055,Paid Social,Serums,49.5,False,10%
C9106,2024-01-15,O50056,Paid Search,Exfoliants,54.6,False,0%
C3567,2024-01-15,O50057,Influencer,Exfoliants,49.14,False,10%
C937,2024-01-16,O50058,Paid Social,Exfoliants,43.68,False,20%
C8702,2024-01-16,O50059,Paid Social,Moisturizers,38.0,False,0%
C3045,2024-01-16,O50060,Paid Social,Cleansers,22.4,False,20%
C6616,2024-01-16,O50061,Paid Social,Moisturizers,38.0,False,0%
C9741,2024-01-16,O50062,Paid Social,Cleansers,25.2,False,10%
